,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,tot vol,Lalith fill level,Torque / Fill Volume
0,500,0.08,10.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.4,,,,1.4,1.4,35.33684757,41.13344766,0.304591445,296087.54251083743,0.0009456662635164781,354301.8341,0.3803359255657618,4728.3313175823905
1,700,0.08,10.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.53,,,,1.53,1.53,33.63181308,19.60442329,0.28508327,281801.0538522138,0.0010858724473063078,354301.834,0.3619843770980868,5429.362236531539
2,900,0.08,10.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.56,,,,1.56,1.56,31.83816757,27.87757185,0.266155567,266772.09321446955,0.001169537623821731,354301.8343,0.3426790945928675,5847.688119108655
3,500,0.08,17.5,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,2.02,,,,2.02,2.02,32.15918048,10.93653619,0.542091398,471558.2572155279,0.0008567340170980187,354301.8338,0.6057348603569863,4283.670085490094
4,700,0.08,17.5,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.52,,,,1.52,1.52,29.89589651,15.770185999999999,0.514351801,438371.1477013167,0.0006934762964991706,354301.8344,0.5631047317575104,3467.381482495853
5,900,0.08,17.5,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.61,,,,1.61,1.61,28.15541762,39.59750887,0.480618826,412850.062280647,0.0007799441720348126,354301.8338,0.5303219082634824,3899.720860174063
6,500,0.08,25.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,3.18,,,,3.18,3.18,29.46001295,37.57559903,0.779517572,617113.8228603839,0.001030604041653251,354301.834,0.792706626583044,5153.020208266255
7,700,0.08,25.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.1,,,,1.1,1.1,25.79667472,32.9260437,0.762818245,540376.0202198084,0.0004071239132900656,354301.8342,0.6941339445117688,2035.619566450328
8,900,0.08,25.0,25.0,19.0,25,20,60,6,40.0,0.0103,1.46,650,1,0.0,,,1.16,,,,1.16,1.16,24.02961251,14.52352153,0.7150636340000001,503360.4724841033,0.0004609023009992641,354301.8342,0.6465860386154315,2304.5115049963206
9,500,0.09,10.0,25.0,19.0,25,20,60,6,40.0,0.0083,1.46,650,1,0.0,,,1.6,,,,1.6,1.6,33.43460676,21.99426092,0.306652263,280148.661557153,0.0011422506829814603,354301.8344,0.3631938689874926,5711.253414907302
