,RPM ,L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Torque,Torque_imp,MRT_imp,DetTorque,DetMRT
0,775.0,0.098901099,17.5,32.5,20.0,25.0,25.0,60.0,4.0,40.0,0.28,1.2,1520.0,1.0,0.0,34.72222222,1.5,1.5,34.72222222,,
1,600.0,0.098901099,25.0,25.0,20.5,25.0,25.0,90.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,13.88888889,2.2,2.2,13.88888889,,
2,950.0,0.0,25.0,40.0,20.5,25.0,25.0,30.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,3.472222222,2.1,2.1,3.472222222,,
3,600.0,0.0,10.0,40.0,18.0,25.0,25.0,30.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,48.61111111,4.0,4.0,48.61111111,,
4,600.0,0.098901099,25.0,40.0,18.0,25.0,25.0,30.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,46.52777778,7.3,7.3,46.52777778,,
5,950.0,0.098901099,25.0,25.0,20.5,25.0,25.0,30.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,22.91666667,2.4,2.4,22.91666667,,
6,600.0,0.0,25.0,25.0,18.0,25.0,25.0,60.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,39.58333333,5.6,5.6,39.58333333,,
7,950.0,0.0,25.0,25.0,18.0,25.0,25.0,30.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,74.30555556,6.6,6.6,74.30555556,,
8,600.0,0.0,25.0,40.0,20.5,25.0,25.0,90.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,4.8611111110000005,1.9,1.9,4.8611111110000005,,
9,600.0,0.0,10.0,25.0,20.5,25.0,25.0,30.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,8.333333332999999,1.3,1.3,8.333333332999999,,
10,950.0,0.0,10.0,25.0,20.5,25.0,25.0,90.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,6.25,0.9,0.9,6.25,,
11,950.0,0.098901099,25.0,40.0,19.5,25.0,25.0,90.0,6.0,40.0,0.28,1.2,1520.0,1.0,0.0,34.72222222,4.9,4.9,34.72222222,,
12,950.0,0.098901099,10.0,25.0,18.0,25.0,25.0,30.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,46.52777778,4.5,4.5,46.52777778,,
13,775.0,0.098901099,17.5,32.5,20.0,25.0,25.0,60.0,4.0,40.0,0.28,1.2,1520.0,1.0,0.0,29.86111111,1.7,1.7,29.86111111,,
14,775.0,0.098901099,17.5,32.5,20.0,25.0,25.0,60.0,4.0,40.0,0.28,1.2,1520.0,1.0,0.0,38.19444444,1.4,1.4,38.19444444,,
15,950.0,0.098901099,10.0,40.0,20.5,25.0,25.0,30.0,2.0,40.0,0.28,1.2,1520.0,1.0,0.0,27.77777778,1.3,1.3,27.77777778,,
16,600.0,0.098901099,10.0,40.0,19.5,25.0,25.0,90.0,6.0,40.0,0.28,1.2,1520.0,1.0,0.0,41.66666667,4.4,4.4,41.66666667,,
17,950.0,0.0,10.0,40.0,18.0,25.0,25.0,60.0,12.0,40.0,0.28,1.2,1520.0,2.0,1.0,53.47222222,2.8,2.8,53.47222222,,
18,1000.0,0.35,0.4,25.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,1.28,17.0,,
19,1000.0,0.35,0.8,25.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,3.63,25.5,,
20,1000.0,0.35,1.2,25.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,8.06,16.9,,
21,1000.0,0.45,0.4,25.0,38.5,11.0,40.0,60.0,5.0,61.89,0.001,1.379,1440.0,1.0,0.0,,,2.17,41.14,,
